author	title	ids
Aristotle	Poetics	hvd.32044010427722;hvd.32044012915443;uc2.ark:/13960/t15m63x4c;uc1.32106008244862;hvd.hn2wyl;mdp.39015005479871;mdp.39015051095548;mdp.39015005326668;mdp.39015003633222;njp.32101073497545
Aristotle	Rhetoric	mdp.39015005479871;mdp.39015051095548;njp.32101074942564;uc2.ark:/13960/t1rf5n48s;hvd.32044009659277;mdp.39015039320182;mdp.39015074634265;mdp.39015004957190;hvd.hxg96z;nyp.33433022672947
Horace	Ars Poetica / Art of Poetry	
Longinus	On the Sublime	umn.31951001668292k;mdp.39015004928894;hvd.32044085136372;uc1.l0061792925;njp.32101074942788;mdp.39015063018769;mdp.39015063018751;uc2.ark:/13960/t8gf0rn0f;uva.x000372108;mdp.39015063018744
Philip Sidney	An Apology for Poetry	mdp.39015011889204;gri.ark:/13960/t87h3t70j;hvd.32044011748555;hvd.32044097060230;mdp.39015004766740
Pierre Corneille	Of the Three Unities	
John Dryden	An Essay of Dramatic Poesy	uc1.$b272452;mdp.39015030940434;mdp.39015031232948;aeu.ark:/13960/t9184x08w;hvd.32044100864123;hvd.32044051146793;mdp.39015019068397;mdp.39015025365308;mdp.39015030940426;mdp.39015065527908
Nicolas Boileau-Despreaux	The Art of Poetry	mdp.39015059894330;mdp.39015008498340;njp.32101067474443
John Dennis	The Advancement and Reformation of Modern Poetry	
Alexander Pope	An Essay on Criticism	pst.000005296095;mdp.39015000549983;nyp.33433074852371;hvd.hn2f8p
Joseph Warton	An Essay on the Genius and Writings of Pope	nyp.33433074793658;nyp.33433074793633;nyp.33433074793641;nyp.33433082515309;mdp.49015002028794;njp.32101037572680;mdp.39015031938627;mdp.39015031938635;uc2.ark:/13960/t6xw4r38m;nyp.33433074793617
Joseph Addison	The Spectator (1712 volume; numbers 411, 416, 418)	
Giambattista Vico	The New Science	
Thomas Warton	The History of English Poetry	hvd.hn1cxp;hvd.32044004355939;uc2.ark:/13960/t4vh5sz4q;uc2.ark:/13960/t5fb5bb62;nyp.33433074840103;nyp.33433074840111;nyp.33433074840129;osu.32435027168707;osu.32435027168715;osu.32435071372163
Edmund Burke	A Philosophical Enquiry into the Origin of our Ideas of the Sublime and the Beautiful	
David Hume	Of the Standard of Taste in Four Dissertations	
Samuel Johnson	Preface to Shakespeare	inu.30000005470244;njp.32101068599818;uc1.b5344512
Samuel Johnson	Lives of the Poets	umn.31951002044523l;umn.31951002044524j;umn.31951002044525h;umn.31951002044526f;umn.31951002044527d;umn.31951002044530o;umn.31951002044531m;umn.31951002091134h;umn.31951002091136d;njp.32101068599800
Samuel Johnson	Rambler (1750 volume, number 4)	
Edward Young	Conjectures on Original Composition	njp.32101004972418;mdp.39015019990194;loc.ark:/13960/t53f58c8k;mdp.39015049235669;loc.ark:/13960/t3417gm0q
Joshua Reynolds	Discourses on Art	mdp.39015031965372
Immanuel Kant	Critique of Judgment	
Friedrich von Schiller	Letters on the Aesthetic Education of Man	
Denis Diderot	Rameau's Nephew	
Denis Diderot	Salons	hvd.32044108418336;hvd.32044108418344;hvd.32044033906595;hvd.32044034898387
William Wordsworth	Preface, Lyrical Ballads -- 1800 edition	
