author	title	ids
Plato	 The Republic 	hvd.32044077696110;nyp.33433081632998;mdp.39015009302293;uc2.ark:/13960/t71v5rg5b;uc2.ark:/13960/t51g0kb4r;hvd.32044085149680;uc1.$b287192;uva.x000201682;mdp.39015009302285;coo.31924032626461
Plato	 Theaetetus 	hvd.hn3kts;hvd.32044010441350;uc2.ark:/13960/t8pc2xp6s;hvd.32044009527078;uc1.b4791342;uva.x001180130;mdp.39015005753697;uc2.ark:/13960/t1hh6g44p;hvd.32044085149870;hvd.hnjwft
Plato	 Apology 	uc1.31822009493982;mdp.39015001808750;loc.ark:/13960/t4km0jr39;hvd.32044102851367;hvd.32044102851359;hvd.32044102851342;uiug.30112023820126;hvd.32044102851318;hvd.hn3mik;hvd.hn3jbs
Plato	 Phaedrus 	hvd.hxjfcr;mdp.39015004072206;uc1.c072610589;mdp.39015053268317;uva.x001151817;hvd.hn62r7;mdp.39015053267723;mdp.39015000653678;uc2.ark:/13960/t6zw1mj7g;hvd.32044009964172
Plato	 Euthyphro 	uc1.b3922458;uc2.ark:/13960/t1sf2x49r;uc1.$b6854;hvd.hn26yg;njp.32101066454735;hvd.32044085148625;umn.31951002352367s;uc1.$b6863;njp.32101057791913;uc2.ark:/13960/t5r78cr8q
Aristotle	 Politics 	uiug.30112055523101;mdp.39015066423750;mdp.39015074712525;mdp.39015074712517;hvd.hx5mgg;gri.ark:/13960/t9t17q92d;mdp.39015021988152;hvd.32044004883500;hvd.32044012512711;uiug.30112082606564
Aristotle	 The Categories 	
Aristotle	 Poetics 	hvd.32044010427722;hvd.32044012915443;uc2.ark:/13960/t15m63x4c;uc1.32106008244862;hvd.hn2wyl;mdp.39015005479871;mdp.39015051095548;mdp.39015005326668;mdp.39015003633222;njp.32101073497545
Aristotle	 Ethics 	uc2.ark:/13960/t9q23t861;mdp.39015065617824;mdp.39015009325914;uiug.30112041474583;nnc1.50207993;mdp.39015009349336;mdp.39015005719771;mdp.39015019189607;hvd.hx5pwu;hvd.hw20iy
Aristotle	 The Nicomachean Ethics 	uc1.32106000024569;nnc1.50207993;uc1.a0003658887;uc1.l0066765462;uc1.a0001783133;uc2.ark:/13960/t6tx38g4v;uiug.30112023769505;hvd.hn2ack;uc1.b4379690;njp.32101051674552
George John Romanes	 Mind and Motion and Monism	mdp.39015001982290;wu.89094555117;uc1.$b191943;uc2.ark:/13960/t8ff3nz6z;aeu.ark:/13960/t6tx42x33;aeu.ark:/13960/t86h5n69t
Marcus Aurelius	 Meditations 	mdp.39015027923807;uva.x030802906;njp.32101020522288;mdp.39015010718354;mdp.39015001815144;loc.ark:/13960/t7np2wm60;pst.000027548356;uc2.ark:/13960/t1ng4kq0r;uc1.l0054905179;mdp.39015060799429
Lucretius	 On the Nature of Things 	hvd.32044005055405;uc1.32106001545372;uc1.32106006280918;mdp.39015008178694;hvd.hn3qt7;mdp.39015002973264;mdp.39015004116185;mdp.39015010367871;mdp.39015015367470;hvd.32044019024306
Alexander Philip	 Essays Towards a Theory of Knowledge	uc1.$b279047;uc2.ark:/13960/t4qj7982v
Immanuel Kant	 The Critique of Pure Reason 	uc2.ark:/13960/t45q5691k
Immanuel Kant	 Critique of Practical Reason 	uva.x002166055;mdp.39015004129899;nc01.ark:/13960/t3514wk3v;uc1.31158001441574;uc1.32106005396988;uc1.b5191195;hvd.ah6pvg;hvd.ah6pvi
Ludwig Wittgenstein	 Tractatus Logico-Philosophicus 	mdp.39015001539116;uc1.31175026845241
Bertrand Russell	 The Problems of Philosophy	mdp.39015048991148;ucw.ark:/13960/t6834gk78;mdp.39015060457523
Bertrand Russell	 Mysticism and Logic and Other Essays	uc2.ark:/13960/t2h70b65n;inu.30000043372204;mdp.39015001982142;mdp.39015066427249;hvd.32044037137098
Bertrand Russell	 The Analysis of Mind	uva.x000092282;mdp.39015002885542;ucw.ark:/13960/t1zc8dp3z
Bertrand Russell	 Proposed Roads to Freedom	mdp.39015028389438;uva.x000199762;hvd.32044032353062;hvd.32044072017718;hvd.hnnquv;osu.32435006131676
Bertrand Russell	 Political Ideals	mdp.39015008630637;uc2.ark:/13960/t7tm74w9p
Peter Coffey	 Ontology or the Theory of Being	mdp.39015026428428;wu.89094578374
René Descartes	 Discourse on Method 	mdp.39015001149858
René Descartes	 Rules for the Direction of the Mind 	
Blaise Pascal	 Pensées 	uc1.$b498546;uc1.b000758318;uc1.b000758319;ucm.5323120097;njp.32101073392787;njp.32101073392795;ucm.531591529x;hvd.32044069625432;uc1.a0001716679;nnc1.cu53395123
George Berkeley	 A Treatise Concerning the Principles of Human Knowledge	uc1.$b54740;uc2.ark:/13960/t74t6tc5s;hvd.32044011552379;mdp.39015049878203;mdp.39015011483768;loc.ark:/13960/t6b29401s;hvd.ah6ri4;mdp.39015026484132;uc2.ark:/13960/t24b2zb96;inu.39000002709967
George Berkeley	 Three Dialogues Between Hylas and Philonous	uc2.ark:/13960/t6b27rv7k;mdp.39015002843004;uiug.30112050299319;hvd.ah6r8v;uiug.30112055997131;nyp.33433087533166;uc2.ark:/13960/t2h709v5r
Thomas Hobbes	 Leviathan	mdp.39015005032472;mdp.39015005510410;mdp.39015063757192;mdp.39015070876951;coo.31924001911183;umn.31951002293599l;uc1.31175002086372;gri.ark:/13960/t4qj8h677;pst.000020285838;njp.32101068999752
Georg Wilhelm Friedrich Hegel	 Phenomenology of Spirit 	
Georg Wilhelm Friedrich Hegel	 The Philosophy of Right 	
Georg Wilhelm Friedrich Hegel	 The Philosophy of History 	loc.ark:/13960/t24b3wk11;uc2.ark:/13960/t3028sj6x;uc1.32106000260189;hvd.32044010251528;mdp.39015026497258;uc1.$b288580;uc2.ark:/13960/t8bg2kn83;loc.ark:/13960/t6349572b;umn.31951001871311l;hvd.32044019654607
Arthur Schopenhauer	 The World as Will and Representation 	
